,year,month,gmt
14836,2019,8,287.8539589052416
14837,2019,8,287.8539589052416
14838,2019,8,287.8539589052416
14839,2019,8,287.8539589052416
14840,2019,8,287.8539589052416
14841,2019,8,287.8539589052416
14842,2019,8,287.8539589052416
14843,2019,8,287.8539589052416
14844,2019,8,287.8539589052416
14845,2019,8,287.8539589052416
14846,2019,8,287.8539589052416
14847,2019,8,287.8539589052416
14848,2019,8,287.8539589052416
14849,2019,8,287.8539589052416
14850,2019,8,287.8539589052416
14851,2019,8,287.8539589052416
14852,2019,8,287.8539589052416
14853,2019,9,287.86625591187277
14854,2019,9,287.86625591187277
14855,2019,9,287.86625591187277
14856,2019,9,287.86625591187277
14857,2019,9,287.86625591187277
14858,2019,9,287.86625591187277
14859,2019,9,287.86625591187277
14860,2019,9,287.86625591187277
14861,2019,9,287.86625591187277
14862,2019,9,287.86625591187277
14863,2019,9,287.86625591187277
14864,2019,9,287.86625591187277
14865,2019,9,287.86625591187277
14866,2019,9,287.86625591187277
14867,2019,9,287.86625591187277
14868,2019,9,287.86625591187277
14869,2019,9,287.86625591187277
14870,2019,9,287.86625591187277
14871,2019,9,287.86625591187277
14872,2019,9,287.86625591187277
14873,2019,9,287.86625591187277
14874,2019,9,287.86625591187277
14875,2019,9,287.86625591187277
14876,2019,9,287.86625591187277
14877,2019,9,287.86625591187277
14878,2019,9,287.86625591187277
14879,2019,9,287.86625591187277
14880,2019,9,287.86625591187277
14881,2019,9,287.86625591187277
14882,2019,9,287.86625591187277
14883,2019,10,287.88119952915343
14884,2019,10,287.88119952915343
14885,2019,10,287.88119952915343
14886,2019,10,287.88119952915343
14887,2019,10,287.88119952915343
14888,2019,10,287.88119952915343
14889,2019,10,287.88119952915343
14890,2019,10,287.88119952915343
14891,2019,10,287.88119952915343
14892,2019,10,287.88119952915343
14893,2019,10,287.88119952915343
14894,2019,10,287.88119952915343
14895,2019,10,287.88119952915343
14896,2019,10,287.88119952915343
14897,2019,10,287.88119952915343
14898,2019,10,287.88119952915343
14899,2019,10,287.88119952915343
14900,2019,10,287.88119952915343
14901,2019,10,287.88119952915343
14902,2019,10,287.88119952915343
14903,2019,10,287.88119952915343
14904,2019,10,287.88119952915343
14905,2019,10,287.88119952915343
14906,2019,10,287.88119952915343
14907,2019,10,287.88119952915343
14908,2019,10,287.88119952915343
14909,2019,10,287.88119952915343
14910,2019,10,287.88119952915343
14911,2019,10,287.88119952915343
14912,2019,10,287.88119952915343
14913,2019,10,287.88119952915343
14914,2019,11,287.8894101505982
14915,2019,11,287.8894101505982
14916,2019,11,287.8894101505982
14917,2019,11,287.8894101505982
14918,2019,11,287.8894101505982
14919,2019,11,287.8894101505982
14920,2019,11,287.8894101505982
14921,2019,11,287.8894101505982
14922,2019,11,287.8894101505982
14923,2019,11,287.8894101505982
14924,2019,11,287.8894101505982
14925,2019,11,287.8894101505982
14926,2019,11,287.8894101505982
14927,2019,11,287.8894101505982
14928,2019,11,287.8894101505982
14929,2019,11,287.8894101505982
14930,2019,11,287.8894101505982
14931,2019,11,287.8894101505982
14932,2019,11,287.8894101505982
14933,2019,11,287.8894101505982
14934,2019,11,287.8894101505982
14935,2019,11,287.8894101505982
14936,2019,11,287.8894101505982
14937,2019,11,287.8894101505982
14938,2019,11,287.8894101505982
14939,2019,11,287.8894101505982
14940,2019,11,287.8894101505982
14941,2019,11,287.8894101505982
14942,2019,11,287.8894101505982
14943,2019,11,287.8894101505982
14944,2019,12,287.903297799241
14945,2019,12,287.903297799241
14946,2019,12,287.903297799241
14947,2019,12,287.903297799241
14948,2019,12,287.903297799241
14949,2019,12,287.903297799241
14950,2019,12,287.903297799241
14951,2019,12,287.903297799241
